timestamp,eci x [m],eci y [m],eci z [m]
1735208723.0,-1702511.3107991298,-4792688.849033807,4565357.130895691
1735208723.25,-1703242.427702668,-4793765.083926047,4563959.07429138
1735208723.5,-1703973.411923979,-4794840.945384134,4562560.66114856
1735208723.75,-1704704.2634061703,-4795916.433324242,4561161.891576063
1735208724.0,-1705434.982092304,-4796991.547662491,4559762.765682851
1735208724.25,-1706165.5679252422,-4798066.288314722,4558363.283578309
1735208724.5,-1706896.020848077,-4799140.6551971305,4556963.44537145
1735208724.75,-1707626.3408038658,-4800214.648225865,4555563.251171375
1735208725.0,-1708356.527735619,-4801288.267317029,4554162.701087348
1735208725.25,-1709086.5815863817,-4802361.512386784,4552761.795228602
1735208725.5,-1709816.5022991723,-4803434.383351275,4551360.533704466
1735208725.75,-1710546.2898170613,-4804506.880126727,4549958.916624226
1735208726.0,-1711275.9440832378,-4805579.002629562,4548556.944096975
1735208726.25,-1712005.4650407229,-4806650.750775961,4547154.616232192
1735208726.5,-1712734.852632536,-4807722.124482128,4545751.933139393
1735208726.75,-1713464.106801862,-4808793.123664505,4544348.89492784
1735208727.0,-1714193.2274919024,-4809863.748239594,4542945.5017068
1735208727.25,-1714922.2146457068,-4810933.998123679,4541541.753585881
1735208727.5,-1715651.0682063086,-4812003.873233025,4540137.650674766
1735208727.75,-1716379.788117046,-4813073.373484375,4538733.19308261
1735208728.0,-1717108.3743209678,-4814142.498794047,4537328.380919172
1735208728.25,-1717836.8267613226,-4815211.249078678,4535923.214293865
1735208728.5,-1718565.1453812183,-4816279.624254701,4534517.693316425
1735208728.75,-1719293.330123922,-4817347.624238805,4533111.818096327
1735208729.0,-1720021.380932566,-4818415.248947494,4531705.588743368
1735208729.25,-1720749.2977504032,-4819482.498297458,4530299.005367144
1735208729.5,-1721477.0805206862,-4820549.372205411,4528892.068077299
1735208729.75,-1722204.7291865495,-4821615.870587891,4527484.776983765
1735208730.0,-1722932.2436913494,-4822681.993361787,4526077.132196092
1735208730.25,-1723659.6239782933,-4823747.740443791,4524669.133824151
1735208730.5,-1724386.8699906636,-4824813.1117507005,4523260.781977738
1735208730.75,-1725113.9816717256,-4825878.107199315,4521852.07676671
1735208731.0,-1725840.9589647371,-4826942.726706432,4520443.018301002
1735208731.25,-1726567.8018130306,-4828006.970188972,4519033.60669044
1735208731.5,-1727294.5101599435,-4829070.837563884,4517623.842044899
1735208731.75,-1728021.0839488113,-4830134.3287481135,4516213.724474304
1735208732.0,-1728747.5231228017,-4831197.443658391,4514803.254088941
1735208732.25,-1729473.8276254465,-4832260.182211984,4513392.430998455
1735208732.5,-1730199.9974000172,-4833322.544325796,4511981.255313035
1735208732.75,-1730926.032389804,-4834384.529916773,4510569.727142883
1735208733.0,-1731651.9325382493,-4835446.138902089,4509157.846597956
1735208733.25,-1732377.6977887768,-4836507.371198923,4507745.6137882965
1735208733.5,-1733103.328084849,-4837568.226724504,4506333.02882391
1735208733.75,-1733828.8233696143,-4838628.705395627,4504920.091815477
1735208734.0,-1734554.183586624,-4839688.80712969,4503506.802872919
1735208734.25,-1735279.408679349,-4840748.531843988,4502093.162106389
1735208734.5,-1736004.4985912212,-4841807.87945577,4500679.169626159
1735208734.75,-1736729.4532655347,-4842866.849882097,4499264.82554279
1735208735.0,-1737454.2726458963,-4843925.443040501,4497850.129966318
1735208735.25,-1738178.956675768,-4844983.658848322,4496435.083007085
1735208735.5,-1738903.5052985926,-4846041.497222882,4495019.684775537
1735208735.75,-1739627.918457819,-4847098.958081521,4493603.935382132
1735208736.0,-1740352.196096941,-4848156.041341674,4492187.834937312
1735208736.25,-1741076.3381596273,-4849212.7469210215,4490771.38355123
1735208736.5,-1741800.3445891954,-4850269.074736772,4489354.581334739
1735208736.75,-1742524.2153291856,-4851325.024706449,4487937.428398342
1735208737.0,-1743247.9503232802,-4852380.596747819,4486519.9248522855
1735208737.25,-1743971.5495149975,-4853435.790778411,4485102.0708072055
1735208737.5,-1744695.0128477842,-4854490.606715657,4483683.866373915
1735208737.75,-1745418.3402653197,-4855545.044477361,4482265.311662824
1735208738.0,-1746141.5317111188,-4856599.103981085,4480846.406784709
1735208738.25,-1746864.5871288814,-4857652.785144684,4479427.151850034
1735208738.5,-1747587.5064620608,-4858706.087885668,4478007.546969794
1735208738.75,-1748310.2896543543,-4859759.012121906,4476587.592254568
1735208739.0,-1749032.9366494117,-4860811.557771221,4475167.28781505
1735208739.25,-1749755.447390801,-4861863.724751331,4473746.633762162
1735208739.5,-1750477.8218222014,-4862915.512980131,4472325.630206652
1735208739.75,-1751200.0598872711,-4863966.922375495,4470904.277259353
1735208740.0,-1751922.1615296416,-4865017.952855271,4469482.575031211
1735208740.25,-1752644.1266931363,-4866068.604337608,4468060.523632829
1735208740.5,-1753365.9553211874,-4867118.876740092,4466638.123175629
1735208740.75,-1754087.6473577823,-4868168.7699811375,4465215.373769999
1735208741.0,-1754809.2027463447,-4869218.283978349,4463792.275527482
1735208741.25,-1755530.621430769,-4870267.418650026,4462368.828558734
1735208741.5,-1756251.903354799,-4871316.173914274,4460945.03297477
1735208741.75,-1756973.0484621262,-4872364.549689129,4459520.888886741
1735208742.0,-1757694.0566964725,-4873412.545892686,4458096.396405795
1735208742.25,-1758414.928001671,-4874460.162443215,4456671.555642914
1735208742.5,-1759135.662321427,-4875507.399258815,4455246.366709374
1735208742.75,-1759856.2595995918,-4876554.256257819,4453820.829716211
1735208743.0,-1760576.7197798593,-4877600.73335833,4452394.944774823
1735208743.25,-1761297.0428061709,-4878646.83047884,4450968.71199616
1735208743.5,-1762017.2286221622,-4879692.547537402,4449542.13149184
1735208743.75,-1762737.277171919,-4880737.88445274,4448115.203372632
1735208744.0,-1763457.1883989836,-4881782.841142798,4446687.92775042
1735208744.25,-1764176.962247469,-4882827.417526371,4445260.30473602
1735208744.5,-1764896.5986610737,-4883871.613521665,4443832.334441105
1735208744.75,-1765616.0975837116,-4884915.429047206,4442404.016976983
1735208745.0,-1766335.458959229,-4885958.86402144,4440975.352455142
1735208745.25,-1767054.6827315474,-4887001.918362939,4439546.34098695
1735208745.5,-1767773.76884461,-4888044.591990317,4438116.982683818
1735208745.75,-1768492.717242289,-4889086.884822106,4436687.277657311
1735208746.0,-1769211.5278684362,-4890128.796776806,4435257.226019097
1735208746.25,-1769930.2006670935,-4891170.327773226,4433826.827880518
1735208746.5,-1770648.7355822104,-4892211.477730047,4432396.083353151
1735208746.75,-1771367.1325576666,-4893252.246565858,4430964.992548747
1735208747.0,-1772085.391537422,-4894292.63419939,4429533.555578949
1735208747.25,-1772803.5124655005,-4895332.640549468,4428101.772555342
1735208747.5,-1773521.4952859972,-4896372.265535043,4426669.643589392
1735208747.75,-1774239.3399427189,-4897411.509074666,4425237.168793198
1735208748.0,-1774957.0463796838,-4898450.371087195,4423804.348278489
1735208748.25,-1775674.6145410566,-4899488.851491726,4422371.182156751
1735208748.5,-1776392.0443707916,-4900526.950207061,4420937.670539929
1735208748.75,-1777109.3358129335,-4901564.667152145,4419503.813539851
1735208749.0,-1777826.4888114603,-4902602.002245845,4418069.611268514
1735208749.25,-1778543.5033105449,-4903638.955407317,4416635.063837581
1735208749.5,-1779260.379254298,-4904675.526555651,4415200.17135888
1735208749.75,-1779977.1165866212,-4905711.715609641,4413764.933944718
1735208750.0,-1780693.7152517578,-4906747.522488594,4412329.351706769
1735208750.25,-1781410.1751937713,-4907782.947111568,4410893.424757092
1735208750.5,-1782126.4963568265,-4908817.989397779,4409457.15320763
1735208750.75,-1782842.6786849643,-4909852.649266293,4408020.537170573
1735208751.0,-1783558.722122299,-4910886.926636276,4406583.57675807
1735208751.25,-1784274.6266131592,-4911920.821427227,4405146.272081842
1735208751.5,-1784990.392101557,-4912954.333558209,4403708.623254316
1735208751.75,-1785706.018531663,-4913987.462948513,4402270.630387647
1735208752.0,-1786421.5058476988,-4915020.209517538,4400832.293593938
1735208752.25,-1787136.8539938908,-4916052.573184685,4399393.612985321
1735208752.5,-1787852.062914339,-4917084.55386919,4397954.588674244
1735208752.75,-1788567.1325533951,-4918116.151490681,4396515.220772689
1735208753.0,-1789282.062855144,-4919147.365968398,4395075.509393236
1735208753.25,-1789996.85376397,-4920178.19722204,4393635.454647892
1735208753.5,-1790711.505224042,-4921208.645170998,4392195.056649158
1735208753.75,-1791426.01717955,-4922238.709734716,4390754.315509546
1735208754.0,-1792140.3895749047,-4923268.390832972,4389313.23134116
1735208754.25,-1792854.6223542436,-4924297.688385153,4387871.804256717
1735208754.5,-1793568.715461962,-4925326.602311047,4386430.034368447
1735208754.75,-1794282.6688423268,-4926355.132530259,4384987.921788904
1735208755.0,-1794996.4824396544,-4927383.278962486,4383545.466630593
1735208755.25,-1795710.1561982648,-4928411.041527443,4382102.669006038
1735208755.5,-1796423.6900624589,-4929438.420144829,4380659.529027872
