timestamp,frame index,eci x [m],eci y [m],eci z [m],q_eta,q_e1,q_e2,q_e3
1735211807.412797,423,-677533.0236505709,-4967583.4252627855,4827522.468021403,-0.018568149648784983,-0.8092416260256455,-0.4012581739679204,-0.42861696844839875
1735211807.537797,424,-677795.63103728,-4968200.846391886,4826855.658055701,-0.018526970140692094,-0.80923875807269,-0.40122373246452425,-0.42865661118864595
1735211807.662797,425,-678058.2384239892,-4968818.267520985,4826188.848089999,-0.018485790632599197,-0.8092358901197344,-0.4011892909611281,-0.4286962539288932
1735211807.787797,426,-678320.8458106983,-4969435.688650084,4825522.038124297,-0.018444611124506308,-0.8092330221667788,-0.40115484945773194,-0.42873589666914047
1735211807.912797,427,-678583.4531974075,-4970053.109779184,4824855.228158595,-0.018403431616413415,-0.8092301542138233,-0.4011204079543358,-0.42877553940938773
1735211808.037797,428,-678846.0605841167,-4970670.530908283,4824188.418192892,-0.018362252108320522,-0.8092272862608677,-0.40108596645093963,-0.428815182149635
1735211808.162797,429,-679108.6679708259,-4971287.952037382,4823521.608227191,-0.01832107260022763,-0.8092244183079121,-0.4010515249475435,-0.42885482488988225
1735211808.287797,430,-679371.275357535,-4971905.373166482,4822854.798261488,-0.018279893092134736,-0.8092215503549567,-0.4010170834441473,-0.4288944676301295
1735211808.412797,431,-679633.8827442442,-4972522.794295581,4822187.988295786,-0.018238713584041846,-0.8092186824020011,-0.40098264194075117,-0.42893411037037676
1735211808.537797,432,-679896.4901309534,-4973140.21542468,4821521.178330083,-0.01819753407594895,-0.8092158144490456,-0.400948200437355,-0.428973753110624
1735211808.662797,433,-680159.0975176626,-4973757.63655378,4820854.368364382,-0.01815635456785606,-0.80921294649609,-0.40091375893395886,-0.4290133958508713
1735211808.787797,434,-680421.7049043718,-4974375.057682879,4820187.558398679,-0.018115175059763167,-0.8092100785431344,-0.4008793174305627,-0.4290530385911185
1735211808.912797,435,-680684.3122910808,-4974992.478811978,4819520.748432977,-0.018073995551670274,-0.8092072105901789,-0.40084487592716656,-0.42909268133136574
1735211809.037797,436,-680946.91967779,-4975609.899941078,4818853.938467274,-0.01803281604357738,-0.8092043426372234,-0.4008104344237704,-0.429132324071613
1735211809.162797,437,-681209.5270644992,-4976227.3210701775,4818187.128501573,-0.01799163653548449,-0.8092014746842678,-0.40077599292037425,-0.42917196681186026
1735211809.287797,438,-681472.1344512084,-4976844.742199277,4817520.31853587,-0.017950457027391595,-0.8091986067313123,-0.4007415514169781,-0.4292116095521075
1735211809.412797,439,-681734.7418379176,-4977462.163328377,4816853.508570168,-0.017909277519298702,-0.8091957387783567,-0.4007071099135819,-0.4292512522923548
1735211809.537797,440,-681997.3492246267,-4978079.584457476,4816186.698604465,-0.017868098011205813,-0.8091928708254011,-0.40067266841018573,-0.42929089503260204
1735211809.662797,441,-682259.9566113359,-4978697.005586575,4815519.888638764,-0.01782691850311292,-0.8091900028724456,-0.4006382269067896,-0.4293305377728493
1735211809.787797,442,-682522.563998045,-4979314.426715675,4814853.078673061,-0.017785738995020027,-0.80918713491949,-0.4006037854033934,-0.42937018051309656
1735211809.912797,443,-682785.1713847542,-4979931.847844774,4814186.268707359,-0.017744559486927134,-0.8091842669665346,-0.40056934389999727,-0.42940982325334376
1735211810.037797,444,-683047.7787714634,-4980549.268973873,4813519.4587416565,-0.01770337997883424,-0.809181399013579,-0.4005349023966011,-0.429449465993591
1735211810.162797,445,-683310.3861581725,-4981166.690102973,4812852.648775955,-0.017662200470741348,-0.8091785310606234,-0.40050046089320496,-0.4294891087338383
1735211810.287797,446,-683572.9935448817,-4981784.111232072,4812185.838810252,-0.017621020962648455,-0.8091756631076679,-0.4004660193898088,-0.42952875147408554
1735211810.412797,447,-683835.6009315909,-4982401.532361172,4811519.02884455,-0.017579841454555566,-0.8091727951547123,-0.40043157788641265,-0.4295683942143328
1735211810.537797,448,-684098.2083183001,-4983018.953490271,4810852.2188788485,-0.017538661946462673,-0.8091699272017567,-0.4003971363830165,-0.42960803695458005
1735211810.662797,449,-684360.8157050093,-4983636.37461937,4810185.408913146,-0.01749748243836978,-0.8091670592488012,-0.40036269487962034,-0.4296476796948273
1735211810.787797,450,-684623.4230917185,-4984253.79574847,4809518.598947444,-0.017456302930276887,-0.8091641912958457,-0.4003282533762242,-0.42968732243507457
1735211810.912797,451,-684886.0304784275,-4984871.216877569,4808851.788981741,-0.017415123422183994,-0.8091613233428901,-0.40029381187282803,-0.42972696517532183
1735211811.037797,452,-685148.6378651367,-4985488.638006669,4808184.9790160395,-0.0173739439140911,-0.8091584553899346,-0.4002593703694319,-0.4297666079155691
1735211811.162797,453,-685411.2452518459,-4986106.059135769,4807518.169050337,-0.017332764405998208,-0.809155587436979,-0.4002249288660357,-0.4298062506558163
1735211811.287797,454,-685673.8526385551,-4986723.480264868,4806851.359084635,-0.01729158489790532,-0.8091527194840235,-0.40019048736263957,-0.42984589339606355
1735211811.412797,455,-685936.4600252643,-4987340.901393967,4806184.549118932,-0.017250405389812425,-0.8091498515310679,-0.4001560458592434,-0.4298855361363108
1735211811.537797,456,-686199.0674119734,-4987958.322523067,4805517.739153231,-0.017209225881719532,-0.8091469835781124,-0.40012160435584726,-0.42992517887655807
1735211811.662797,457,-686461.6747986826,-4988575.743652166,4804850.929187528,-0.01716804637362664,-0.8091441156251569,-0.4000871628524511,-0.4299648216168053
1735211811.787797,458,-686724.2821853918,-4989193.164781265,4804184.119221826,-0.017126866865533746,-0.8091412476722013,-0.40005272134905495,-0.4300044643570526
1735211811.912797,459,-686986.889572101,-4989810.585910365,4803517.309256123,-0.017085687357440853,-0.8091383797192457,-0.4000182798456588,-0.43004410709729984
1735211812.037797,460,-687249.4969588101,-4990428.007039464,4802850.499290422,-0.01704450784934796,-0.8091355117662902,-0.39998383834226264,-0.4300837498375471
1735211812.162797,461,-687512.1043455193,-4991045.428168563,4802183.689324719,-0.01700332834125507,-0.8091326438133346,-0.3999493968388665,-0.43012339257779436
1735211812.287797,462,-687774.7117322284,-4991662.849297663,4801516.879359017,-0.016962148833162174,-0.809129775860379,-0.39991495533547033,-0.43016303531804156
1735211812.412797,463,-688037.3191189376,-4992280.270426762,4800850.069393314,-0.016920969325069285,-0.8091269079074236,-0.3998805138320742,-0.4302026780582888
1735211812.537797,464,-688299.9265056468,-4992897.691555861,4800183.259427613,-0.016879789816976392,-0.809124039954468,-0.399846072328678,-0.4302423207985361
1735211812.662797,465,-688562.533892356,-4993515.112684961,4799516.44946191,-0.0168386103088835,-0.8091211720015125,-0.3998116308252818,-0.43028196353878334
1735211812.787797,466,-688825.1412790652,-4994132.5338140605,4798849.639496208,-0.016797430800790606,-0.8091183040485569,-0.39977718932188566,-0.4303216062790306
1735211812.912797,467,-689087.7486657742,-4994749.95494316,4798182.829530505,-0.016756251292697713,-0.8091154360956013,-0.3997427478184895,-0.43036124901927786
1735211813.037797,468,-689350.3560524834,-4995367.37607226,4797516.019564804,-0.016715071784604824,-0.8091125681426458,-0.39970830631509335,-0.4304008917595251
1735211813.162797,469,-689612.9634391926,-4995984.797201359,4796849.209599102,-0.016673892276511927,-0.8091097001896902,-0.3996738648116972,-0.4304405344997724
1735211813.287797,470,-689875.5708259018,-4996602.218330458,4796182.399633399,-0.016632712768419038,-0.8091068322367347,-0.39963942330830104,-0.43048017724001963
1735211813.412797,471,-690138.178212611,-4997219.639459558,4795515.589667697,-0.016591533260326145,-0.8091039642837792,-0.3996049818049049,-0.4305198199802669
1735211813.537797,472,-690400.7855993201,-4997837.060588657,4794848.779701995,-0.01655035375223325,-0.8091010963308236,-0.39957054030150874,-0.4305594627205141
1735211813.662797,473,-690663.3929860293,-4998454.481717756,4794181.969736293,-0.01650917424414036,-0.809098228377868,-0.3995360987981126,-0.43059910546076136
1735211813.787797,474,-690926.0003727385,-4999071.902846856,4793515.15977059,-0.016467994736047466,-0.8090953604249125,-0.39950165729471643,-0.4306387482010086
1735211813.912797,475,-691188.6077594477,-4999689.323975955,4792848.3498048885,-0.016426815227954576,-0.8090924924719569,-0.3994672157913203,-0.4306783909412559
1735211814.037797,476,-691451.2151461568,-5000306.745105054,4792181.539839186,-0.01638563571986168,-0.8090896245190015,-0.3994327742879241,-0.43071803368150313
1735211814.162797,477,-691713.8225328659,-5000924.166234154,4791514.729873484,-0.01634445621176879,-0.8090867565660459,-0.39939833278452797,-0.4307576764217504
1735211814.287797,478,-691976.4299195751,-5001541.587363253,4790847.919907781,-0.016303276703675894,-0.8090838886130903,-0.3993638912811318,-0.43079731916199765
1735211814.412797,479,-692239.0373062843,-5002159.008492352,4790181.1099420795,-0.016262097195583004,-0.8090810206601348,-0.39932944977773566,-0.4308369619022449
1735211814.537797,480,-692501.6446929935,-5002776.429621452,4789514.299976377,-0.01622091768749011,-0.8090781527071792,-0.3992950082743395,-0.43087660464249217
1735211814.662797,481,-692764.2520797027,-5003393.850750552,4788847.490010675,-0.01617973817939722,-0.8090752847542236,-0.39926056677094335,-0.43091624738273937
1735211814.787797,482,-693026.8594664119,-5004011.271879651,4788180.680044972,-0.01613855867130433,-0.8090724168012681,-0.3992261252675472,-0.43095589012298663
1735211814.912797,483,-693289.466853121,-5004628.693008751,4787513.870079271,-0.016097379163211432,-0.8090695488483126,-0.39919168376415104,-0.4309955328632339
1735211815.037797,484,-693552.0742398301,-5005246.11413785,4786847.060113568,-0.016056199655118543,-0.809066680895357,-0.3991572422607549,-0.43103517560348115
1735211815.162797,485,-693814.6816265393,-5005863.535266949,4786180.250147866,-0.016015020147025646,-0.8090638129424015,-0.39912280075735873,-0.4310748183437284
1735211815.287797,486,-694077.2890132485,-5006480.956396049,4785513.440182163,-0.015973840638932757,-0.8090609449894459,-0.3990883592539626,-0.43111446108397566
1735211815.412797,487,-694339.8963999577,-5007098.377525148,4784846.630216462,-0.015932661130839864,-0.8090580770364904,-0.3990539177505664,-0.4311541038242229
1735211815.537797,488,-694602.5037866668,-5007715.798654248,4784179.82025076,-0.01589148162274697,-0.8090552090835348,-0.39901947624717027,-0.4311937465644702
1735211815.662797,489,-694865.111173376,-5008333.219783347,4783513.010285057,-0.015850302114654078,-0.8090523411305792,-0.3989850347437741,-0.43123338930471744
1735211815.787797,490,-695127.7185600852,-5008950.640912446,4782846.200319355,-0.015809122606561185,-0.8090494731776238,-0.39895059324037796,-0.4312730320449647
1735211815.912797,491,-695390.3259467944,-5009568.062041546,4782179.390353653,-0.015767943098468296,-0.8090466052246682,-0.3989161517369818,-0.4313126747852119
1735211816.037797,492,-695652.9333335035,-5010185.483170645,4781512.580387951,-0.0157267635903754,-0.8090437372717126,-0.3988817102335856,-0.43135231752545916
1735211816.162797,493,-695915.5407202127,-5010802.904299744,4780845.770422248,-0.01568558408228251,-0.8090408693187571,-0.39884726873018944,-0.4313919602657064
1735211816.287797,494,-696178.1481069218,-5011420.325428844,4780178.960456546,-0.015644404574189617,-0.8090380013658015,-0.3988128272267933,-0.4314316030059537
1735211816.412797,495,-696440.755493631,-5012037.7465579435,4779512.150490844,-0.015603225066096724,-0.8090351334128459,-0.39877838572339713,-0.43147124574620094
1735211816.537797,496,-696703.3628803402,-5012655.167687043,4778845.340525142,-0.01556204555800383,-0.8090322654598905,-0.398743944220001,-0.4315108884864482
1735211816.662797,497,-696965.9702670494,-5013272.588816143,4778178.530559439,-0.01552086604991094,-0.8090293975069349,-0.3987095027166048,-0.43155053122669546
1735211816.787797,498,-697228.5776537586,-5013890.009945242,4777511.720593737,-0.015479686541818046,-0.8090265295539794,-0.39867506121320867,-0.4315901739669427
1735211816.912797,499,-697491.1850404677,-5014507.431074341,4776844.910628035,-0.015438507033725153,-0.8090236616010238,-0.3986406197098125,-0.43162981670719
1735211817.037797,500,-697753.7924271768,-5015124.852203441,4776178.100662333,-0.01539732752563226,-0.8090207936480682,-0.39860617820641636,-0.43166945944743723
1735211817.162797,501,-698016.399813886,-5015742.27333254,4775511.29069663,-0.01535614801753937,-0.8090179256951127,-0.3985717367030202,-0.43170910218768443
1735211817.287797,502,-698279.0072005952,-5016359.694461639,4774844.4807309285,-0.015314968509446476,-0.8090150577421571,-0.39853729519962405,-0.4317487449279317
1735211817.412797,503,-698541.6145873044,-5016977.115590739,4774177.670765226,-0.015273789001353583,-0.8090121897892016,-0.3985028536962279,-0.43178838766817895
1735211817.537797,504,-698804.2219740135,-5017594.536719838,4773510.860799524,-0.01523260949326069,-0.8090093218362461,-0.39846841219283174,-0.4318280304084262
1735211817.662797,505,-699066.8293607227,-5018211.957848937,4772844.050833821,-0.015191429985167799,-0.8090064538832905,-0.3984339706894356,-0.43186767314867347
1735211817.787797,506,-699329.4367474319,-5018829.378978037,4772177.2408681195,-0.015150250477074906,-0.809003585930335,-0.39839952918603944,-0.43190731588892073
